transaction_id,customer_name,email,age,country,product_category,unit_price,quantity,transaction_date,payment_method
ORD100046,Amanda Montgomery,davisrachel@james.com,58.0,United States,Home,,1,2026-01-21,card
ORD100047,Philip Hawkins,terry38@yahoo.com,25.0,Ghana,Groceries,499.99,3,2025-07-11,Cash
ORD100048,Peter Lindsey,henry27@gmail.com,,Nigeria,electronics,"1,500",1,2025-12-25,Card
ORD100049,Melinda Avila,wayne75@yahoo.com,60.0,United States,electronics,1200,2,2024-05-02,Card
ORD100050,Daniel Perez,terrellveronica@gmail.com,24.0,United States,electronics,1200,,2025-09-24,Transfer
ORD100051,James Johnson,jonesautumn@yahoo.com,41.0,United States,Groceries,499.99,5,2024-07-04,Cash
ORD100052,Cindy Kelley,christinetucker@yahoo.com,58.0,Ghana,Electronics,500,1,2024-09-28,Card
ORD100053,Melinda Moon,sarahhodges@lee-burton.info,27.0,Nigeria,electronics,499.99,2,,Card
ORD100054,Kara Chase,wwatts@gmail.com,40.0,nigeria,Fashion,,-1,2025-01-29,Card
ORD100055,Adam Joseph,,,Nigeria,Electronics,500,3,2024-08-26,Transfer
ORD100056,Michael Rogers,benjaminchavez@gmail.com,26.0,United States,Groceries,1200,3,2024-05-05,Transfer
ORD100057,Valerie Phelps,michele53@hodge.com,64.0,United States,electronics,,3,2024-07-31,card
ORD100058,Angela Rodriguez,xcastaneda@yahoo.com,34.0,Nigeria,Electronics,,5,2026-01-22,card
ORD100059,Steven Sullivan,amywilson@yahoo.com,27.0,Nigeria,Fashion,500,1,,Cash
ORD100060,Peter Duffy,kmendoza@henderson-fischer.com,,United States,Electronics,500,1,2024-09-10,
ORD100061,Elizabeth Hill,robyn02@rivers-day.net,55.0,United States,Groceries,,1,2025-03-11,Transfer
ORD100062,Michael Parker,,23.0,Nigeria,Fashion,"1,500",3,2025-05-09,Cash
ORD100063,Ann Rodriguez,michael77@gmail.com,47.0,Nigeria,Groceries,"1,500",3,2025-03-04,Cash
ORD100064,Lisa Rogers,nmckee@liu.org,37.0,United States,Home,499.99,1,2025-10-03,
ORD100065,Lisa Shepard,amartinez@gmail.com,61.0,Nigeria,Groceries,500,1,2024-09-14,card
ORD100066,Tammy Robbins,garybarry@hamilton-sims.biz,52.0,United States,Fashion,,1,2024-11-09,card
ORD100067,Thomas Cooper,martinezdaniel@yahoo.com,67.0,Turkey,Groceries,499.99,,2024-07-16,card
ORD100068,James Walker,jerrymcpherson@yahoo.com,41.0,nigeria,Groceries,2500,1,2024-06-01,Transfer
ORD100069,Ann Jenkins,mevans@yahoo.com,60.0,United Kingdom,Groceries,2500,2,2025-12-16,card
ORD100070,Tammy Patterson,rlawson@tate.com,58.0,United Kingdom,Electronics,499.99,5,2024-08-14,Card
ORD100071,Kimberly Arias,mwood@sullivan-boone.com,20.0,Nigeria,Electronics,2500,,2024-10-03,Card
ORD100072,Dominic Nichols,washingtonkatherine@gmail.com,69.0,United States,Fashion,2500,1,2024-03-10,Card
ORD100073,Sarah Higgins,bryantdustin@gmail.com,19.0,Nigeria,Electronics,"1,500",4,2025-06-21,card
ORD100074,Margaret Frazier,kellycassie@gmail.com,57.0,nigeria,Electronics,"1,500",2,2025-11-14,Cash
ORD100075,Justin Washington,youngangela@yahoo.com,,Ghana,electronics,500,1,2024-10-22,
ORD100076,Christopher Hunt,ovasquez@smith-turner.com,21.0,United Kingdom,Electronics,"1,500",1,2025-08-28,Card
ORD100077,Michael Shah,samantha59@williams.org,68.0,Turkey,Electronics,2500,2,2025-09-17,Card
ORD100078,Brian Knight,bfuller@wallace.biz,57.0,United States,Fashion,500,1,2024-07-28,Card
ORD100079,April Evans,moorestephanie@morrison.biz,69.0,USA,Groceries,1200,-1,2024-04-20,Card
ORD100080,Gloria Romero,larryhughes@gmail.com,68.0,United States,Home,2500,5,2024-02-19,card
ORD100081,Julie Anderson,bmurillo@barber-berry.com,18.0,Ghana,Fashion,500,5,2025-02-27,Cash
ORD100082,Matthew Hess,paulwoodward@hughes.info,42.0,nigeria,Fashion,499.99,1,2024-12-20,Card
ORD100083,Henry Olson,justin97@wagner-young.org,38.0,United Kingdom,Fashion,1200,-1,2024-12-14,
ORD100084,Tiffany Alexander,jeffrey21@hotmail.com,24.0,Nigeria,Electronics,2500,3,2025-04-29,card
ORD100085,Robin Patrick,kmoses@yahoo.com,21.0,Ghana,Home,500,1,2025-04-17,Cash
ORD100086,Ralph Gomez,matthew10@bryant-nash.com,26.0,Turkey,Groceries,"1,500",3,,Cash
ORD100087,Joshua Golden,hforbes@yahoo.com,23.0,United Kingdom,Home,"1,500",2,2025-04-16,card
ORD100088,Alicia Thompson,james00@hotmail.com,42.0,United States,Fashion,1200,2,2025-02-22,Cash
ORD100089,Jason Jones,rodney74@hotmail.com,30.0,USA,Electronics,500,1,2024-12-27,Cash
ORD100090,Ryan Barrett,lawrencewood@hotmail.com,30.0,Ghana,Electronics,1200,5,2025-10-27,Card
ORD100091,Nicole Green,lisawalters@hotmail.com,25.0,United Kingdom,Groceries,"1,500",-1,2025-07-07,Cash
ORD100092,Kenneth Wilson,,48.0,Ghana,Electronics,"1,500",5,2024-09-27,Card
ORD100093,Barbara Thomas,bhernandez@davis.com,23.0,Ghana,Fashion,500,1,2025-04-07,Card
ORD100094,Judith Vargas,melissa70@yahoo.com,67.0,Nigeria,Electronics,500,1,2024-06-09,Card
ORD100095,David Russo,frichardson@hotmail.com,31.0,Nigeria,Fashion,499.99,4,2026-02-01,Cash
ORD100096,Manuel Brown,sarahlynn@gmail.com,33.0,Nigeria,electronics,500,5,2026-01-09,Cash
ORD100097,Heather Bryant,harrismichelle@yahoo.com,54.0,Nigeria,electronics,,2,2024-11-06,Transfer
ORD100098,Amanda Bush,webernicholas@rodriguez.com,43.0,Ghana,Fashion,,5,2024-03-01,Transfer
ORD100099,Jacqueline Norman,hannahwells@gonzalez.com,,USA,Electronics,"1,500",3,2024-05-12,Transfer
ORD100100,Charles Freeman,,41.0,Nigeria,Groceries,499.99,3,2025-11-07,
ORD100101,Julie Walton,sean87@johnson-mann.biz,51.0,United States,Groceries,500,2,2024-02-26,Transfer
ORD100102,Ronald Russell,terrellbrendan@richardson.org,40.0,Nigeria,Electronics,500,2,2025-03-08,Card
ORD100103,Brittany Davis,klopez@hotmail.com,38.0,United States,electronics,500,,2025-06-16,Cash
ORD100104,Ronald Porter,michael57@miller-martinez.com,56.0,Nigeria,Groceries,2500,1,2024-06-10,card
ORD100105,Patrick Smith DDS,robertkelly@gmail.com,18.0,Ghana,Groceries,2500,1,2024-06-15,Transfer
ORD100106,Jennifer Osborn,bradleyandre@hotmail.com,42.0,Ghana,Home,2500,3,2024-06-12,
ORD100107,Patrick Ward,brent70@yahoo.com,52.0,United States,Electronics,1200,1,2024-02-29,Cash
ORD100108,Denise Jackson,,55.0,Nigeria,Fashion,499.99,1,2024-11-26,Card
ORD100109,Philip Hubbard,sherri89@reed-sawyer.net,35.0,United States,Groceries,1200,5,2025-02-14,Card
ORD100110,David Farmer,andrewvaldez@mahoney.com,55.0,Nigeria,Fashion,,2,2024-11-13,Card
ORD100111,Patricia Vega,,66.0,nigeria,Groceries,500,5,2024-03-04,Cash
ORD100112,Kyle Greene,ydunn@hotmail.com,,United States,electronics,500,5,2025-04-17,Card
ORD100113,Ann Smith,michelle06@martin.com,,Turkey,Electronics,500,3,2025-06-06,Card
ORD100114,Patrick Robinson,kwood@graham.org,39.0,nigeria,electronics,1200,3,2024-07-26,Transfer
ORD100115,Jennifer Blair,kevinbruce@sosa.net,54.0,Ghana,Electronics,500,2,2025-03-05,Transfer
ORD100116,Patrick Sullivan,dunnscott@jenkins.com,,nigeria,Electronics,500,5,2025-01-03,
ORD100117,Willie Wilson,weeksjessica@collins-kelley.com,28.0,United States,electronics,500,1,2024-08-30,Card
ORD100118,Daniel Hubbard,brookeellis@hotmail.com,30.0,nigeria,Groceries,"1,500",4,2025-06-20,card
ORD100119,Christina Bryant,tinasaunders@jones.biz,,nigeria,Fashion,1200,2,2025-05-08,Card
ORD100120,Shelby Mitchell,robinmiller@vega-booth.biz,64.0,Nigeria,Electronics,1200,1,2025-10-08,Transfer
ORD100121,Jennifer Glover,john36@gmail.com,36.0,United Kingdom,electronics,500,2,2025-07-17,Transfer
ORD100122,Sandra Nelson,glennmcmahon@keller-alexander.net,,United States,Groceries,,2,2025-03-01,Card
ORD100123,Daniel Rivera,george31@gmail.com,53.0,Nigeria,Home,,3,2024-03-25,
ORD100124,Dylan Jones,cody40@johnson.biz,52.0,Nigeria,Fashion,500,1,2025-04-02,card
ORD100125,Edward Jenkins,,52.0,Nigeria,Electronics,500,3,2025-09-21,card
ORD100126,Scott Patterson,wrogers@yahoo.com,19.0,United States,Fashion,,2,2024-04-11,Transfer
ORD100127,Mrs. Toni Caldwell,kingtammy@humphrey.org,48.0,Ghana,Electronics,500,2,2024-12-20,Card
ORD100128,Kimberly Johnson,hwilliams@williams.org,63.0,Nigeria,Fashion,499.99,2,2025-06-11,
ORD100129,Stephanie Brooks,ushelton@gmail.com,47.0,Turkey,Fashion,"1,500",5,2025-03-13,Cash
ORD100130,Heather Barber,steven84@hotmail.com,45.0,Nigeria,Electronics,500,2,2024-03-13,Card
ORD100131,Brett Hansen,victor88@hotmail.com,53.0,Turkey,Groceries,500,1,2024-07-26,Card
ORD100132,William Davis,nstevens@garrison.com,,Turkey,Electronics,500,3,2025-08-03,Card
ORD100133,Nicole Tate,william40@mcconnell.com,,Nigeria,Groceries,500,1,2024-03-05,Transfer
ORD100134,Joseph Krueger,nathan41@yahoo.com,,United Kingdom,Home,499.99,,2026-02-05,Cash
ORD100135,Holly Allen,holdenashley@yahoo.com,,United Kingdom,Electronics,500,2,2025-03-12,Cash
ORD100136,Kelly Woodward,michellewhite@hotmail.com,59.0,United Kingdom,Electronics,1200,1,2025-01-10,
ORD100137,Douglas Fernandez,millerbrianna@hotmail.com,63.0,USA,Home,"1,500",4,2025-03-23,Card
ORD100138,Lisa Benton,josephschaefer@marshall.org,43.0,USA,Electronics,"1,500",1,2024-06-06,Transfer
ORD100139,Nicole Jefferson,kellerlatasha@yahoo.com,59.0,United States,Groceries,2500,3,2025-06-04,Card
ORD100140,Shawn Flores,sarah44@gmail.com,23.0,Ghana,Groceries,"1,500",-1,,Card
ORD100141,Shawn Ramos,donnahoward@roberson-mercado.com,41.0,Nigeria,Fashion,"1,500",5,2025-10-20,
ORD100142,Wanda Johnson,,20.0,Ghana,electronics,500,1,2024-07-06,Card
ORD100143,Patricia Morris,baileyzoe@miller.org,57.0,United Kingdom,Groceries,1200,1,2025-05-28,Card
ORD100144,Joshua Mendoza,zthomas@gmail.com,,nigeria,Fashion,"1,500",2,2025-05-14,Cash
ORD100145,Amy Graham,,39.0,Nigeria,electronics,"1,500",2,2024-11-06,
ORD100146,Sean Smith,,44.0,United States,Home,,4,2025-12-01,card
ORD100147,Keith Frost,mendozamichael@hatfield-orozco.info,,Nigeria,Groceries,1200,5,2025-02-12,Transfer
ORD100148,Megan Hines,,54.0,nigeria,Home,2500,1,2025-09-14,Cash
ORD100149,Jessica Butler,lmartinez@walker.net,54.0,USA,Groceries,2500,2,2025-10-18,Transfer
ORD100150,Angel Mann,,40.0,Nigeria,Electronics,"1,500",3,2025-06-22,card
ORD100151,Sandra Miller,yconrad@gmail.com,51.0,Nigeria,Groceries,1200,4,2024-05-25,Transfer
ORD100152,Andrea Sanchez,robertnichols@yahoo.com,41.0,nigeria,Groceries,499.99,4,2025-07-12,Cash
ORD100153,George Barber,ymcdonald@gmail.com,48.0,United States,Fashion,500,2,2025-01-05,Card
ORD100154,Patricia Lopez,laceygriffin@gmail.com,39.0,Ghana,Groceries,500,3,2025-07-08,card
ORD100155,Willie White,moyeramanda@thomas.com,38.0,USA,Home,"1,500",2,2025-03-24,Cash
ORD100156,Timothy Williams,wongcharles@hotmail.com,60.0,USA,Groceries,500,1,2024-08-13,Card
ORD100157,Patrick Mitchell,iknapp@hotmail.com,36.0,Nigeria,electronics,,1,2024-06-25,Card
ORD100158,Renee Cain,rosslogan@gmail.com,39.0,Ghana,electronics,500,3,2025-02-19,Cash
ORD100159,Steven Stuart,samuel66@gmail.com,61.0,USA,Home,2500,,2024-07-16,Cash
ORD100160,Dana Johnson,,20.0,USA,electronics,1200,2,2024-09-03,Card
ORD100161,Brett Allen,xsimmons@hotmail.com,28.0,United States,Electronics,2500,2,2025-08-26,Cash
ORD100162,Amy Richards,sara41@fowler-munoz.com,40.0,United States,Electronics,500,1,,Cash
ORD100163,Jerry George,sanchezrobert@yahoo.com,21.0,Turkey,Groceries,"1,500",,2025-12-10,Cash
ORD100164,Kristie Peters,curtis03@gmail.com,47.0,Nigeria,Fashion,1200,1,2024-05-12,Cash
ORD100165,Jill Peterson,ldavis@estes-owens.com,33.0,Ghana,Electronics,500,1,2025-12-02,Cash
ORD100166,Jennifer Cardenas,hernandezbrandon@hotmail.com,40.0,Nigeria,Home,,,2025-12-07,card
ORD100167,Mackenzie Jones,elizabethpatrick@holden-salas.info,21.0,Nigeria,Fashion,1200,1,2025-01-09,Card
ORD100168,John Bryant,,62.0,Nigeria,Electronics,500,2,2025-08-29,
ORD100169,Norma Wilson,kimberly45@smith.com,66.0,Ghana,Electronics,500,2,2024-04-26,Transfer
ORD100170,Samantha Mercado MD,christopheredwards@elliott.com,50.0,Turkey,Fashion,"1,500",1,2024-09-09,Card
ORD100171,Raymond Tucker,katelyn80@travis.net,62.0,USA,electronics,"1,500",1,2025-10-05,
ORD100172,Shane Garza,barnettstephen@taylor.com,35.0,Nigeria,Electronics,"1,500",5,2024-07-23,Card
ORD100173,Ernest Hernandez,,25.0,Nigeria,Home,"1,500",2,2024-10-08,Card
ORD100174,David Armstrong,robertnguyen@hotmail.com,,United States,Fashion,500,1,2024-03-27,card
ORD100175,Kevin Brown DVM,,,United Kingdom,electronics,"1,500",4,2024-12-19,Cash
ORD100176,Bryan Schmitt,ugraves@hawkins.net,69.0,Turkey,Home,1200,1,2024-03-01,Card
ORD100177,Tiffany Hopkins,hamiltonloretta@yahoo.com,58.0,United States,Electronics,,2,2025-01-31,Card
ORD100178,Larry Floyd,scottshawn@brown.net,39.0,nigeria,electronics,1200,2,2025-06-07,Transfer
ORD100179,David Freeman,manningmadeline@williams.info,42.0,Nigeria,Fashion,499.99,2,2025-07-14,Cash
ORD100180,Jennifer Baker,jamessimmons@yahoo.com,39.0,United States,electronics,,,2025-01-04,Cash
ORD100181,Ronald Romero,jessicaadams@hotmail.com,33.0,Nigeria,Groceries,499.99,,2025-02-26,Transfer
ORD100182,Jose Edwards,wagnersteven@george-campbell.com,33.0,USA,Electronics,2500,4,2024-03-17,Card
ORD100183,Cindy Marshall,bridgesjacqueline@hotmail.com,26.0,USA,electronics,1200,2,2024-10-03,card
ORD100184,Robert Rodriguez,egreen@flores.com,20.0,United Kingdom,Groceries,499.99,4,2025-11-05,Transfer
ORD100185,Nathan Durham,rubiobrian@nguyen-williams.com,26.0,nigeria,Groceries,2500,3,2026-02-13,Transfer
ORD100186,Tonya Neal,robertsnathan@yahoo.com,31.0,United States,electronics,1200,,2025-08-30,Cash
ORD100187,Casey Payne,daniel35@gmail.com,,USA,electronics,2500,1,2024-04-10,Cash
ORD100188,Jennifer Hamilton,nichole17@yahoo.com,64.0,Turkey,Home,2500,4,2024-08-24,Cash
ORD100189,Brittany Meyer,todd41@evans-mendoza.com,25.0,United States,Home,1200,4,2025-04-27,Cash
ORD100190,David Perez,gbarton@yahoo.com,42.0,United States,Fashion,1200,1,2024-06-06,Cash
ORD100191,Phyllis Vasquez,campbellwilliam@gmail.com,57.0,United Kingdom,Fashion,,1,2024-12-31,Transfer
ORD100192,Eric Mejia,pooleamanda@ferguson-sanchez.com,37.0,Nigeria,Electronics,499.99,1,2024-10-11,Cash
ORD100193,Nicole Cherry,chris53@butler-fernandez.com,52.0,United States,Groceries,2500,,2026-01-07,Card
ORD100194,Daniel Reese,villarrealjames@sullivan.net,19.0,Nigeria,electronics,499.99,3,2025-02-16,Card
ORD100195,Paul Mcdaniel,floreschristine@ross-perez.biz,60.0,United States,Home,"1,500",2,2024-06-10,Cash
ORD100196,Jessica Richardson,gwallace@yahoo.com,37.0,USA,Groceries,500,4,2024-07-21,Cash
ORD100197,Steven Walker,kathleen99@fischer.com,39.0,United States,Electronics,500,5,2026-02-16,
ORD100198,Katelyn Miller,patrick28@gmail.com,62.0,Turkey,Electronics,500,1,2024-08-08,Card
ORD100199,Christopher Smith,francissamuel@yahoo.com,25.0,Nigeria,Groceries,499.99,3,2024-08-12,Cash
ORD100200,Jessica Schroeder,david28@hotmail.com,,Nigeria,Electronics,500,3,2025-05-15,
ORD100201,Lisa Oneill,,36.0,Nigeria,Groceries,1200,2,2025-08-03,Card
ORD100202,Willie Blackburn,mhenderson@smith.biz,61.0,Turkey,Electronics,"1,500",1,2024-04-06,Cash
ORD100203,David Fisher,troyhardin@thompson.com,59.0,Nigeria,electronics,1200,-1,2024-05-25,
ORD100204,Mr. Randy Hughes,xwilson@yahoo.com,25.0,Nigeria,electronics,2500,1,2025-08-17,card
ORD100205,Michael Campbell,isaiahrice@clark-cook.org,33.0,Turkey,Groceries,,-1,2025-01-14,Card
ORD100206,John Morrison,alexisrivera@white-hernandez.com,54.0,United States,Groceries,2500,2,2025-10-05,Transfer
ORD100207,Christopher Davis,james96@gmail.com,25.0,Nigeria,Groceries,1200,4,,Card
ORD100208,Michael Kelly,gabriellaschmidt@gmail.com,44.0,United States,Electronics,,2,2024-03-12,
ORD100209,Lisa Soto,lhensley@sanchez-morris.net,60.0,Nigeria,Home,,2,2025-07-19,Transfer
ORD100210,Alexander May,kross@butler.org,65.0,Ghana,Electronics,500,1,2025-12-08,
ORD100211,Mary Blackburn,steincharles@harper.com,39.0,United States,electronics,2500,1,2026-02-07,Transfer
ORD100212,Bryan Brown,brownchristopher@rios.com,64.0,USA,Groceries,2500,2,2024-02-21,Card
ORD100213,Melissa Day,ntaylor@gmail.com,,Ghana,Groceries,2500,2,2025-09-08,Cash
ORD100214,Jacqueline Simpson,,29.0,Nigeria,Fashion,499.99,1,2025-07-08,card
ORD100215,Lori Ferguson,kimberlywang@hotmail.com,41.0,United Kingdom,Home,1200,,2025-02-27,card
ORD100216,William Clark,arnoldlinda@yahoo.com,57.0,nigeria,Fashion,499.99,1,2025-07-28,card
ORD100217,Stephen Thomas,kgonzales@yahoo.com,66.0,nigeria,Electronics,500,1,2024-11-25,Card
ORD100218,Leslie Morgan,keyherbert@harper.com,46.0,Ghana,electronics,"1,500",2,2024-12-05,Card
ORD100219,Bobby Rose,amy49@yahoo.com,39.0,nigeria,Fashion,500,2,2025-06-21,card
ORD100220,Brandi Le,lthompson@yahoo.com,20.0,Nigeria,Electronics,499.99,2,2024-08-07,Card
ORD100221,Eugene Sanchez,kingandre@macias.org,42.0,Nigeria,Home,1200,4,2025-09-01,Cash
ORD100222,Ryan Orozco,john88@rose.biz,38.0,Turkey,Electronics,"1,500",2,2025-03-06,Transfer
ORD100223,Rhonda Dodson,qfisher@gmail.com,53.0,Turkey,Groceries,500,3,2025-11-19,Card
ORD100224,Brett Luna,goldenlori@yahoo.com,34.0,United States,Groceries,1200,4,2025-02-16,Transfer
ORD100225,Miss Christina Martin,ediaz@yahoo.com,20.0,United Kingdom,Electronics,500,-1,2024-08-21,Card
ORD100226,Sarah Hayes,osbornekaren@hotmail.com,18.0,Ghana,Groceries,500,1,2025-11-13,Cash
ORD100227,Jonathan Cardenas,reynoldsdebra@hotmail.com,36.0,USA,electronics,2500,1,2025-04-20,Cash
ORD100228,Mary Cox,rhondajackson@gmail.com,,United States,Fashion,499.99,1,2024-07-28,Card
ORD100229,Melissa Cox,xlam@reese.com,45.0,Turkey,Electronics,1200,-1,2025-04-08,card
ORD100230,Darryl Perez,mchang@yahoo.com,61.0,nigeria,Electronics,500,3,2025-09-10,Card
ORD100231,Heather Oliver,millsmatthew@yahoo.com,39.0,United States,Home,499.99,1,2025-08-14,Transfer
ORD100232,Jill Johnson,valenciajoe@gmail.com,52.0,Nigeria,Groceries,1200,5,2024-03-16,Card
ORD100233,Michael Jackson,keydavid@gmail.com,59.0,Turkey,Electronics,2500,1,2024-11-15,Cash
ORD100234,Nicole Bradford,frandall@mullins.com,42.0,USA,electronics,"1,500",1,2026-01-06,Cash
ORD100235,Brian Mendoza,kimberly02@shaffer-davidson.org,31.0,Nigeria,Electronics,500,1,,Card
ORD100236,Brittany Ward,mjohnson@gmail.com,47.0,USA,Home,2500,2,2025-06-08,Card
ORD100237,Joseph Rodriguez,zwilliams@levine.info,,Nigeria,Fashion,2500,4,2025-11-29,Transfer
ORD100238,Ryan Austin,leekevin@wang.com,40.0,Turkey,Electronics,"1,500",4,2024-03-29,card
ORD100239,Samantha Graham,cynthiapage@hotmail.com,44.0,USA,Groceries,2500,4,2025-04-27,card
ORD100240,Melissa Peterson,elizabethclark@raymond-clark.biz,19.0,USA,Home,499.99,5,2024-04-18,card
ORD100241,Destiny Peterson,stephanieprice@martinez.net,41.0,Nigeria,Fashion,"1,500",2,2024-06-04,Card
ORD100242,Nicole Snyder,gomezthomas@hotmail.com,47.0,USA,Electronics,499.99,1,2025-03-16,Transfer
ORD100243,David Koch,chogan@nguyen-perez.info,35.0,Turkey,Electronics,1200,3,2026-01-30,card
ORD100244,Steven Clark,john64@gmail.com,69.0,nigeria,Groceries,,1,2025-11-08,card
ORD100245,James Peterson,burtonkathleen@hotmail.com,25.0,United Kingdom,Electronics,499.99,,2024-02-26,Cash
ORD100246,Jacob Howell,stacey18@gmail.com,45.0,Nigeria,Groceries,"1,500",-1,2025-09-12,
ORD100247,Jason Smith,alisondodson@pacheco.com,,United Kingdom,Fashion,500,2,2025-12-22,Card
ORD100248,David Andrews,paulamoore@gmail.com,,Turkey,Electronics,2500,3,2026-01-28,Cash
ORD100249,Dawn Bates,mcortez@hotmail.com,44.0,Ghana,Home,2500,5,2024-02-21,Card
ORD100250,Melinda Cooper,edward80@yahoo.com,50.0,United States,Fashion,"1,500",3,2024-08-19,
ORD100251,Anita Adams,,56.0,nigeria,Home,1200,-1,2026-02-02,Cash
ORD100252,Charles Singleton,nancywilliams@gmail.com,63.0,Turkey,Home,,,2026-02-11,Transfer
ORD100253,Danielle Beard,petersmatthew@anderson.com,55.0,Ghana,Groceries,500,3,2025-02-18,Card
ORD100254,Benjamin Olson,,61.0,Turkey,Electronics,,2,2025-09-12,card
ORD100255,Olivia Gonzales,kimberlyspencer@gmail.com,18.0,nigeria,Electronics,,2,,
ORD100256,Ashley Jackson,alandavila@yahoo.com,49.0,nigeria,Electronics,"1,500",1,2025-04-30,Cash
